	ratio	nifH type	env type	Organism
SRR8474835	0.0	PB	others	metagenome
SRR8474836	0.0	PB	others	metagenome
SRR8474837	0.0	PB	soil	soil metagenome
SRR8474838	0.0	PB	soil	soil metagenome
SRR8474839	0.0	PB	others	metagenome
SRR8474840	0.0	PB	others	metagenome
SRR8474841	0.0	PB	soil	soil metagenome
SRR8474842	0.0	PB	others	metagenome
SRR8474843	0.0	PB	soil	soil metagenome
SRR8474844	0.0	PB	others	metagenome
SRR8474846	0.0	PB	soil	soil metagenome
SRR8474847	0.0	PB	others	metagenome
SRR8474848	0.0	PB	soil	soil metagenome
SRR8474850	0.0	PB	others	metagenome
SRR8474852	0.0	PB	others	metagenome
SRR8474853	0.0	PB	soil	soil metagenome
SRR8474854	0.0	PB	soil	soil metagenome
SRR8474855	0.0	PB	others	metagenome
SRR8474856	1.9461077844311372	PB	soil	soil metagenome
SRR8474857	0.7062146892655368	PB	others	metagenome
SRR8474858	3.448275862068965	PB	soil	soil metagenome
SRR8474859	1.1650485436893205	PB	others	metagenome
SRR8474860	21.53846153846154	PB	others	metagenome
SRR8474861	1.393728222996516	PB	others	metagenome
SRR8474862	5.405405405405404	PB	others	metagenome
SRR8474863	0.2178649237472767	PB	others	metagenome
SRR8474864	0.0	PB	soil	soil metagenome
SRR8474865	0.0	PB	soil	soil metagenome
SRR8474866	0.0	PB	soil	soil metagenome
SRR8474867	0.0	PB	others	metagenome
SRR8474868	0.0	PB	soil	soil metagenome
SRR8474869	0.0	PB	others	metagenome
SRR8474870	0.0	PB	soil	soil metagenome
SRR8474871	0.0	PB	soil	soil metagenome
SRR8474872	0.0	PB	soil	soil metagenome
SRR8474873	0.0	PB	soil	soil metagenome
SRR8474874	0.0	PB	others	metagenome
SRR8474875	0.0	PB	soil	soil metagenome
SRR8474876	2.4608501118568236	PB	others	metagenome
SRR8474877	1.262626262626264	PB	others	metagenome
SRR8474878	2.791262135922329	PB	soil	soil metagenome
SRR8474879	5.777777777777779	PB	soil	soil metagenome
SRR8474880	0.0	PB	others	metagenome
SRR8474881	2.583025830258303	PB	soil	soil metagenome
SRR8474882	1.1813045711350776	PB	others	metagenome
SRR8474883	6.885245901639343	PB	others	metagenome
SRR8474884	0.4087193460490462	PB	others	metagenome
SRR8474885	0.0	PB	others	metagenome
SRR8474886	0.0	PB	soil	soil metagenome
SRR8474887	0.0	PB	soil	soil metagenome
SRR8474888	0.0	PB	others	metagenome
SRR8474889	0.0	PB	others	metagenome
SRR8474890	0.0	PB	others	metagenome
SRR8474891	0.0	PB	soil	soil metagenome
SRR8474892	0.0	PB	others	metagenome
SRR8474893	0.0	PB	others	metagenome
SRR8474894	0.0	PB	soil	soil metagenome
SRR8474895	0.4734848484848485	PB	others	metagenome
SRR8474896	0.3597122302158276	PB	soil	soil metagenome
SRR8474897	0.615006150061501	PB	others	metagenome
SRR8474898	5.128205128205129	PB	others	metagenome
SRR8474899	2.07852193995381	PB	soil	soil metagenome
SRR8474900	6.972789115646259	PB	soil	soil metagenome
SRR8474901	0.0	PB	others	metagenome
SRR8474902	0.0	PB	others	metagenome
SRR8474903	0.0	PB	others	metagenome
SRR8474904	0.0	PB	soil	soil metagenome
SRR8474905	0.0	PB	others	metagenome
SRR8474906	0.0	PB	others	metagenome
SRR8474907	0.0	PB	soil	soil metagenome
SRR8474908	2.4163568773234188	PB	soil	soil metagenome
SRR8474909	0.0	PB	others	metagenome
SRR8474910	0.0	PB	soil	soil metagenome
SRR8474911	0.0	PB	soil	soil metagenome
SRR8474912	0.0	PB	soil	soil metagenome
SRR8474913	0.0	PB	soil	soil metagenome
SRR8474914	0.0	PB	soil	soil metagenome
SRR8474915	4.285714285714285	PB	soil	soil metagenome
SRR8474916	0.0	PB	others	metagenome
SRR8474917	0.0	PB	others	metagenome
SRR8474918	0.0	PB	soil	soil metagenome
SRR8474919	0.0	PB	others	metagenome
SRR8474920	0.0	PB	soil	soil metagenome
SRR8474921	0.0	PB	others	metagenome
SRR8474922	0.0	PB	others	metagenome
SRR8474923	0.0	PB	others	metagenome
SRR8474924	0.0	PB	soil	soil metagenome
SRR8474925	3.2806804374240572	PB	others	metagenome
SRR8474926	0.0	PB	others	metagenome
SRR8474927	0.0	PB	soil	soil metagenome
SRR8474928	0.0	PB	others	metagenome
SRR8474929	0.0	PB	others	metagenome
SRR8474930	0.0	PB	soil	soil metagenome
SRR8474931	0.0	PB	soil	soil metagenome
SRR8474932	2.962962962962964	PB	others	metagenome
SRR8474933	0.0	PB	others	metagenome
SRR8474934	0.0	PB	soil	soil metagenome
SRR8474935	0.0	PB	others	metagenome
SRR8474936	0.0	PB	soil	soil metagenome
SRR8474937	0.0	PB	others	metagenome
SRR8474938	0.0	PB	others	metagenome
SRR8474939	0.0	PB	soil	soil metagenome
SRR8474940	0.0	PB	soil	soil metagenome
SRR8474942	0.0	PB	soil	soil metagenome
SRR8474943	0.0	PB	soil	soil metagenome
SRR8474944	0.0	PB	soil	soil metagenome
SRR8474945	0.5836575875486385	PB	others	metagenome
SRR8474946	0.0	PB	soil	soil metagenome
SRR8474947	0.0	PB	others	metagenome
SRR8474948	0.0	PB	others	metagenome
SRR8474949	0.0	PB	soil	soil metagenome
SRR8474950	0.0	PB	others	metagenome
SRR8474951	0.0	PB	others	metagenome
SRR8474952	0.0	PB	soil	soil metagenome
SRR8474953	0.0	PB	others	metagenome
SRR8474954	0.0	PB	others	metagenome
SRR8474955	0.0	PB	others	metagenome
SRR8474956	0.0	PB	others	metagenome
SRR8474957	0.0	PB	others	metagenome
SRR8474958	0.0	PB	others	metagenome
SRR8474959	0.0	PB	soil	soil metagenome
SRR8474960	0.0	PB	soil	soil metagenome
SRR8474961	0.0	PB	others	metagenome
SRR8474962	0.0	PB	others	metagenome
SRR8474963	0.0	PB	soil	soil metagenome
SRR8474964	0.0	PB	others	metagenome
SRR8474965	0.0	PB	others	metagenome
SRR8474966	0.0	PB	others	metagenome
SRR8474967	0.0	PB	soil	soil metagenome
SRR8474968	0.0	PB	others	metagenome
SRR8474969	0.0	PB	others	metagenome
SRR8474970	0.0	PB	soil	soil metagenome
SRR8474971	0.6106870229007632	PB	soil	soil metagenome
SRR8474972	29.850746268656707	PB	soil	soil metagenome
SRR8474973	0.0	PB	soil	soil metagenome
SRR5875200	0.0	PB	soil	soil metagenome
SRR5875201	0.0	PB	soil	soil metagenome
SRR5875202	0.0	PB	soil	soil metagenome
SRR5875203	0.0	PB	soil	soil metagenome
SRR5875204	0.0	PB	soil	soil metagenome
SRR5875205	0.0	PB	soil	soil metagenome
SRR5875206	0.0	PB	soil	soil metagenome
SRR5875207	0.0	PB	soil	soil metagenome
SRR5875208	0.0	PB	soil	soil metagenome
SRR5875209	0.0	PB	soil	soil metagenome
SRR5875210	0.0	PB	soil	soil metagenome
SRR5875211	0.0	PB	soil	soil metagenome
SRR8265685	62.09367801382134	PB	soil	soil metagenome
SRR8265694	51.035242290748904	PB	soil	soil metagenome
SRR8265695	11.661151555261418	PB	soil	soil metagenome
SRR7143827	0.0	PB	soil	mine tailings metagenome
SRR7143836	0.0	PB	soil	mine tailings metagenome
SRR7143837	0.0	PB	soil	mine tailings metagenome
SRR7143840	0.0	PB	soil	mine tailings metagenome
SRR7143841	0.0	PB	soil	mine tailings metagenome
SRR7143842	0.0	PB	soil	mine tailings metagenome
SRR7143843	0.0	PB	soil	mine tailings metagenome
SRR7143846	0.0	PB	soil	mine tailings metagenome
SRR7143847	0.0	PB	soil	mine tailings metagenome
SRR7143858	0.0	PB	soil	mine tailings metagenome
SRR7143859	100.0	PB	soil	mine tailings metagenome
SRR3143861	0.0	PB	soil	soil metagenome
SRR3143863	0.0	PB	soil	soil metagenome
SRR3143864	0.0	PB	soil	soil metagenome
SRR3143865	0.0	PB	soil	soil metagenome
SRR3143867	60.465116279069775	PB	soil	soil metagenome
SRR3143868	0.0	PB	soil	soil metagenome
SRR3143869	0.0	PB	soil	soil metagenome
SRR3143870	0.0	PB	soil	soil metagenome
